question,answer,label,domain,difficulty
What is polymorphism in OOP?,"Inheritance allows a child class to acquire the properties and methods of a parent class, enabling code reuse. For example, a `Dog` class can inherit from `Animal`, reusing its `eat()` and `sleep()` methods while adding its own `bark()` method.",correct,OOP,easy
What is polymorphism in OOP?,Encapsulation is about keeping data inside a class. I know it uses private variables but I'm not fully clear on how access modifiers work across different languages.,partial,OOP,easy
What is polymorphism in OOP?,A class and an object are the same thing in Python. You use the keywords interchangeably when writing code.,incorrect,OOP,easy
Explain the difference between a class and an object.,Method overriding occurs when a subclass provides a specific implementation for a method already defined in its parent class. Method overloading means defining multiple methods with the same name but different parameters — Python handles this with default/variable arguments.,correct,OOP,easy
Explain the difference between a class and an object.,Polymorphism is when different classes can use the same method name. It helps with flexibility but I'm not entirely sure about all the details like compile-time vs runtime polymorphism.,partial,OOP,easy
Explain the difference between a class and an object.,SOLID is a testing framework used to verify OOP code correctness. It stands for different types of unit test strategies.,incorrect,OOP,easy
What is encapsulation and why is it important?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass. It enables a single interface to represent different underlying forms, such as method overriding in subclasses or method overloading. For example, a `Shape` class can have an `area()` method that is overridden differently by `Circle` and `Rectangle` subclasses.",correct,OOP,easy
What is encapsulation and why is it important?,Design patterns are templates for solving common problems. I've heard of Singleton and Factory but I haven't used them in practice so I only have a surface-level understanding.,partial,OOP,easy
What is encapsulation and why is it important?,"Design patterns are Python built-in libraries you import to solve specific problems, like `import singleton` or `import factory`.",incorrect,OOP,easy
What is inheritance in object-oriented programming?,Abstract classes define a template with abstract methods that must be implemented by subclasses. Interfaces (in Python via ABCs) declare method signatures without implementation. The difference: abstract classes can have concrete methods; interfaces are purely contracts.,correct,OOP,easy
What is inheritance in object-oriented programming?,Overriding is when a child class changes a parent method. Overloading I think is similar but I'm not sure of the exact distinction in Python specifically.,partial,OOP,easy
What is inheritance in object-oriented programming?,Abstract classes and interfaces are identical in Python. There is no practical difference between using one or the other.,incorrect,OOP,easy
Explain method overriding vs method overloading.,"A class is a blueprint that defines the structure and behavior of objects. An object is a concrete instance of that class. For example, `Car` is a class; `my_car = Car()` creates an object.",correct,OOP,medium
Explain method overriding vs method overloading.,SOLID has something to do with good OOP design principles. I remember Single Responsibility and Open/Closed but I can't recall all five principles clearly.,partial,OOP,medium
Explain method overriding vs method overloading.,"Inheritance means a child class completely replaces the parent class. Once you inherit, the parent class is no longer used.",incorrect,OOP,medium
What is the SOLID principle?,Encapsulation bundles data (attributes) and behavior (methods) into a single unit called a class and restricts direct access to some of an object's components. This is typically done using access modifiers like private or protected. It improves maintainability and protects object integrity.,correct,OOP,medium
What is the SOLID principle?,Inheritance lets one class use methods from another class. I know it helps with code reuse but I'm not sure about the differences between single and multiple inheritance.,partial,OOP,medium
What is the SOLID principle?,"Polymorphism means an object can store multiple values at the same time, like a list. It's mainly used for data storage in OOP.",incorrect,OOP,medium
What is the difference between abstract classes and interfaces?,"Design patterns are reusable solutions to common software design problems. The Singleton pattern, for example, ensures a class has only one instance and provides a global access point to it. The Factory pattern creates objects without specifying the exact class to instantiate.",correct,OOP,medium
What is the difference between abstract classes and interfaces?,Abstract classes can't be instantiated directly and have some unimplemented methods. I think interfaces are similar but I'm not sure exactly how Python implements them.,partial,OOP,medium
